variant,trainable_parameters,trainable_parameter_pct,retrieval_mean_r_at_1,retrieval_mean_r_at_5,retrieval_mean_r_at_10,linear_probe_accuracy,class_separation,anisotropy,cka_vs_base,mean_cosine_drift,evaluation_seconds,ood_mean_r_at_1,ood_mean_retention_r_at_1,ood_worst_retention_r_at_1
base,0,0.0,0.857421875,0.984375,0.998046875,0.75,-0.33413199916600167,0.41242218267053044,1.0,0.0,4.7324903529997755,0.7468979779411765,0.8710974139086157,0.3735763097949886
lora-r8,294912,0.1318076283325224,0.841796875,0.984375,0.998046875,0.75,-0.3387190904077502,0.3697552037759756,0.9995421097182268,0.00207103973482127,4.2726076680000915,0.7419577205882353,0.8813975706291798,0.37819025522041766
lora-r16,589824,0.2636152566650448,0.83984375,0.986328125,0.998046875,0.75,-0.3369002282550768,0.3275208479298295,0.9981872467291466,0.0088448636441275,4.32321001299988,0.7344898897058824,0.8745554035567715,0.37906976744186044
lora-r8-hard-negative,294912,0.1318076283325224,0.841796875,0.984375,0.998046875,0.75,-0.3380811268513225,0.37084554304333434,0.9995045812590498,0.002013429820462731,4.362517366999782,0.7427619485294118,0.8823529411764706,0.382830626450116
