variant,clean_r_at_1,mean_ood_r_at_1,mean_retention,worst_retention,worst_condition,gaussian_blur_mean_retention,gaussian_noise_mean_retention,jpeg_compression_mean_retention,low_light_mean_retention,occlusion_mean_retention
base,0.95625,0.9162499999999999,0.958169934640523,0.7843137254901961,occlusion:s3,0.9738562091503268,0.9891067538126362,0.9760348583877995,0.9847494553376905,0.8671023965141611
lora-r8,0.9375,0.9125,0.9733333333333334,0.8,occlusion:s3,0.991111111111111,1.0022222222222221,0.9911111111111112,1.0,0.8822222222222221
lora-r16,0.9437500000000001,0.9145833333333333,0.9690949227373068,0.8079470198675496,occlusion:s3,0.9845474613686532,0.9977924944812361,0.9867549668874172,0.9933774834437085,0.8830022075055187
lora-r8-hard-negative,0.95,0.9154166666666667,0.9635964912280701,0.7894736842105263,occlusion:s3,0.9824561403508772,0.9934210526315791,0.9780701754385966,0.9912280701754387,0.8728070175438596
