variant,trainable_parameters,trainable_parameter_pct,retrieval_mean_r_at_1,retrieval_mean_r_at_5,retrieval_mean_r_at_10,linear_probe_accuracy,class_separation,anisotropy,cka_vs_base,mean_cosine_drift,evaluation_seconds,ood_mean_r_at_1,ood_mean_retention_r_at_1,ood_worst_retention_r_at_1
base,0,0.0,0.95625,1.0,1.0,1.0,-0.22853610018952164,0.41490617283588915,1.0,0.0,1.757086504000199,0.9162499999999999,0.958169934640523,0.7843137254901961
lora-r8,294912,0.1318076283325224,0.9375,1.0,1.0,1.0,-0.22622610283121541,0.39830288723689655,0.9999529021084524,0.00030036289881503334,1.4093619919999583,0.9125,0.9733333333333334,0.8
lora-r16,589824,0.2636152566650448,0.9437500000000001,1.0,1.0,1.0,-0.2236897329270488,0.38665807789319023,0.9998495727563471,0.00086188160328943,1.3998320790001344,0.9145833333333333,0.9690949227373068,0.8079470198675496
lora-r8-hard-negative,294912,0.1318076283325224,0.95,1.0,1.0,1.0,-0.22647220238553034,0.3988671447012042,0.9999563440733051,0.00027497305954569116,1.6470695779999005,0.9154166666666667,0.9635964912280701,0.7894736842105263
