variant,severity,r_at_1_mean,r_at_1_std,retention_mean,retention_std
base,4,0.443359375,0.023680382134730744,0.517887317575433,0.026346322743871938
base,5,0.3515625,0.04283537538957287,0.4102973280016736,0.04439929172374859
lora-r8,4,0.439453125,0.0234375,0.5182913851536753,0.021671950181451904
lora-r8,5,0.3489583333333333,0.036031495057348206,0.41133696838623823,0.03635971263380547
lora-r16,4,0.435546875,0.019236050394133015,0.5141684447503725,0.018606588748709366
lora-r16,5,0.3528645833333333,0.03858760810608709,0.4162010368734248,0.038524486323557365
lora-r8-hard-negative,4,0.4388020833333333,0.023545756927116048,0.517540842912755,0.022507639154778398
lora-r8-hard-negative,5,0.3502604166666667,0.037280308078698976,0.4128380528680788,0.03740919890428945
