variant,trainable_parameters,trainable_parameter_pct,retrieval_mean_r_at_1,retrieval_mean_r_at_5,retrieval_mean_r_at_10,linear_probe_accuracy,class_separation,anisotropy,cka_vs_base,mean_cosine_drift,evaluation_seconds,ood_mean_r_at_1,ood_mean_retention_r_at_1,ood_worst_retention_r_at_1
base,0,0.0,0.87109375,0.990234375,0.99609375,0.796875,-0.3272699620401097,0.41333786948232804,1.0,0.0,4.701735204999977,0.7752757352941176,0.8900026378264311,0.45964125560538116
lora-r8,294912,0.1318076283325224,0.86328125,0.990234375,0.998046875,0.796875,-0.32953240123485555,0.3663454546807469,0.9994151746485285,0.002662252742012989,4.325623919999998,0.7699908088235294,0.8919350545648124,0.4502262443438914
lora-r16,589824,0.2636152566650448,0.865234375,0.98828125,0.99609375,0.796875,-0.3265265244234343,0.32993507254069404,0.9983371674798669,0.00867737018795394,4.373241515000018,0.7647058823529411,0.883813570574957,0.45598194130925507
lora-r8-hard-negative,294912,0.1318076283325224,0.86328125,0.990234375,0.998046875,0.796875,-0.3304266626556815,0.3695374520113362,0.9995438594239479,0.0022690728230418517,4.348128697999982,0.7699908088235294,0.8919350545648124,0.45475113122171945
