variant,trainable_parameters,trainable_parameter_pct,retrieval_mean_r_at_1,retrieval_mean_r_at_5,retrieval_mean_r_at_10,linear_probe_accuracy,class_separation,anisotropy,cka_vs_base,mean_cosine_drift,evaluation_seconds,ood_mean_r_at_1,ood_mean_retention_r_at_1,ood_worst_retention_r_at_1
base,0,0.0,0.83984375,0.986328125,0.99609375,0.8125,-0.3410421155828845,0.41452654791096116,1.0,0.0,4.7063390109999546,0.7369025735294118,0.8774281805745554,0.39767441860465114
lora-r8,294912,0.1318076283325224,0.837890625,0.986328125,0.994140625,0.8125,-0.345568958260209,0.3647970178305108,0.9994737500364019,0.002877875815324183,4.323840259999997,0.7370174632352942,0.8796105854929384,0.40559440559440557
lora-r16,589824,0.2636152566650448,0.8359375,0.990234375,0.994140625,0.8125,-0.3437348224301516,0.3323518351573768,0.9985871593577097,0.008024138974797897,4.281413123999982,0.7374770220588235,0.8822155030236394,0.4135514018691589
lora-r8-hard-negative,294912,0.1318076283325224,0.837890625,0.986328125,0.994140625,0.8125,-0.3453698695977541,0.3743007167892753,0.9995820541935138,0.0018373388479164246,4.324720224999965,0.7387408088235294,0.8816673522555876,0.40093240093240096
