variant,trainable_parameters,trainable_parameter_pct,retrieval_mean_r_at_1,retrieval_mean_r_at_5,retrieval_mean_r_at_10,linear_probe_accuracy,class_separation,anisotropy,cka_vs_base,mean_cosine_drift,evaluation_seconds
base,0,0.0,0.95625,1.0,1.0,1.0,-0.22853610018952164,0.41490617283588915,1.0,0.0,2.559433083999977
lora-r8,294912,0.1318076283325224,0.9375,1.0,1.0,1.0,-0.22622610283121541,0.39830288723689655,0.9999529021084524,0.00030036289881503334,1.3609512219999829
lora-r16,589824,0.2636152566650448,0.9437500000000001,1.0,1.0,1.0,-0.2236897329270488,0.38665807789319023,0.9998495727563471,0.00086188160328943,1.3549494199999685
